	tax1	tax2	tax3	spname	nucleotides	orfs	enzymes	rnas
cin	Eukaryotes	Animals	Ascidians	Ciona intestinalis (sea squirt)		13631	962	1291
spu	Eukaryotes	Animals	Echinoderms	Strongylocentrotus purpuratus (purple sea urchin)		27765	1057	3301
sko	Eukaryotes	Animals	Hemichordates	Saccoglossus kowalevskii (acorn worm)		20936	1108	683
dme	Eukaryotes	Animals	Arthropods	Drosophila melanogaster (fruit fly)		13929	878	3209
dpo	Eukaryotes	Animals	Arthropods	Drosophila pseudoobscura pseudoobscura		14574	854	1816
dan	Eukaryotes	Animals	Arthropods	Drosophila ananassae		14365	860	861
der	Eukaryotes	Animals	Arthropods	Drosophila erecta		13605	862	669
dpe	Eukaryotes	Animals	Arthropods	Drosophila persimilis		16874	849	308
dse	Eukaryotes	Animals	Arthropods	Drosophila sechellia		16480	856	379
dsi	Eukaryotes	Animals	Arthropods	Drosophila simulans		14192	865	924
dwi	Eukaryotes	Animals	Arthropods	Drosophila willistoni		13783	853	501
dya	Eukaryotes	Animals	Arthropods	Drosophila yakuba		14837	865	796
dgr	Eukaryotes	Animals	Arthropods	Drosophila grimshawi		14982	861	272
dmo	Eukaryotes	Animals	Arthropods	Drosophila mojavensis		13425	863	826
dvi	Eukaryotes	Animals	Arthropods	Drosophila virilis		13620	867	922
mde	Eukaryotes	Animals	Arthropods	Musca domestica (house fly)		14896	864	1511
aga	Eukaryotes	Animals	Arthropods	Anopheles gambiae (mosquito)		12600	852	24
aag	Eukaryotes	Animals	Arthropods	Aedes aegypti (yellow fever mosquito)		15987	864	420
cqu	Eukaryotes	Animals	Arthropods	Culex quinquefasciatus (southern house mosquito)		18896	854	24
ame	Eukaryotes	Animals	Arthropods	Apis mellifera (honey bee)		10734	855	3084
bim	Eukaryotes	Animals	Arthropods	Bombus impatiens (common eastern bumble bee)		10919	869	435
bter	Eukaryotes	Animals	Arthropods	Bombus terrestris (buff-tailed bumblebee)		10581	871	1029
soc	Eukaryotes	Animals	Arthropods	Solenopsis invicta (red fire ant)		14466	877	629
aec	Eukaryotes	Animals	Arthropods	Acromyrmex echinatior (Panamanian leafcutter ant)		11219	863	912
hst	Eukaryotes	Animals	Arthropods	Harpegnathos saltator (Jerdon's jumping ant)		11838	864	573
cfo	Eukaryotes	Animals	Arthropods	Camponotus floridanus (Florida carpenter ant)		11042	868	693
nvi	Eukaryotes	Animals	Arthropods	Nasonia vitripennis (jewel wasp)		13358	851	851
tca	Eukaryotes	Animals	Arthropods	Tribolium castaneum (red flour beetle)		12881	904	1391
bmor	Eukaryotes	Animals	Arthropods	Bombyx mori (domestic silkworm)		13743	886	1249
dpl	Eukaryotes	Animals	Arthropods	Danaus plexippus (monarch butterfly)		16267	881	24
pxy	Eukaryotes	Animals	Arthropods	Plutella xylostella (diamondback moth)		18119	857	664
api	Eukaryotes	Animals	Arthropods	Acyrthosiphon pisum (pea aphid)		18619	840	1759
phu	Eukaryotes	Animals	Arthropods	Pediculus humanus corporis (human body louse)		10773	876	
dpx	Eukaryotes	Animals	Arthropods	Daphnia pulex (common water flea)		30603	933	23
isc	Eukaryotes	Animals	Arthropods	Ixodes scapularis (black-legged tick)		20467	895	
cel	Eukaryotes	Animals	Nematodes	Caenorhabditis elegans (nematode)	100286401	20224	807	24927
cbr	Eukaryotes	Animals	Nematodes	Caenorhabditis briggsae		19414	788	24
bmy	Eukaryotes	Animals	Nematodes	Brugia malayi (filaria)		11371	660	24
loa	Eukaryotes	Animals	Nematodes	Loa loa (eye worm)		14915	696	37
tsp	Eukaryotes	Animals	Nematodes	Trichinella spiralis		16392	635	24
hro	Eukaryotes	Animals	Annelids	Helobdella robusta		23426	900	
lgi	Eukaryotes	Animals	Mollusks	Lottia gigantea (owl limpet)		23818	1066	
crg	Eukaryotes	Animals	Mollusks	Crassostrea gigas (Pacific oyster)		28410	1077	4906
obi	Eukaryotes	Animals	Mollusks	Octopus bimaculoides		15855	1007	1487
smm	Eukaryotes	Animals	Flatworms	Schistosoma mansoni		12857	632	25
nve	Eukaryotes	Animals	Cnidarians	Nematostella vectensis (sea anemone)		24773	1004	
adf	Eukaryotes	Animals	Cnidarians	Acropora digitifera (stony coral)		26073	1021	5770
hmg	Eukaryotes	Animals	Cnidarians	Hydra vulgaris		20057	846	2298
tad	Eukaryotes	Animals	Placozoans	Trichoplax adhaerens		11538	853	27
aqu	Eukaryotes	Animals	Poriferans	Amphimedon queenslandica (sponge)		20788	931	5362
ath	Eukaryotes	Plants	Eudicots	Arabidopsis thaliana (thale cress)		27636	1149	5054
aly	Eukaryotes	Plants	Eudicots	Arabidopsis lyrata (lyrate rockcress)		32533	1169	
crb	Eukaryotes	Plants	Eudicots	Capsella rubella		26860	1156	45
eus	Eukaryotes	Plants	Eudicots	Eutrema salsugineum		26615	1143	38
brp	Eukaryotes	Plants	Eudicots	Brassica rapa (field mustard)		40585	1157	5528
bna	Eukaryotes	Plants	Eudicots	Brassica napus (rape)		91396	1154	9787
boe	Eukaryotes	Plants	Eudicots	Brassica oleracea (wild cabbage)				
thj	Eukaryotes	Plants	Eudicots	Tarenaya hassleriana (spider flower)		27396	1142	1374
cit	Eukaryotes	Plants	Eudicots	Citrus sinensis (Valencia orange)		24376	1153	2450
cic	Eukaryotes	Plants	Eudicots	Citrus clementina (mandarin orange)		25000	1142	
tcc	Eukaryotes	Plants	Eudicots	Theobroma cacao (cacao)		21518	1143	1900
gra	Eukaryotes	Plants	Eudicots	Gossypium raimondii		35648	1139	5957
ghi	Eukaryotes	Plants	Eudicots	Gossypium hirsutum (upland cotton)		62268		9060
egr	Eukaryotes	Plants	Eudicots	Eucalyptus grandis (rose gum)		36005	1142	6176
gmx	Eukaryotes	Plants	Eudicots	Glycine max (soybean)		48039	1161	5288
pvu	Eukaryotes	Plants	Eudicots	Phaseolus vulgaris (common bean)		28217	1149	44
vra	Eukaryotes	Plants	Eudicots	Vigna radiata (mung bean)		26467	1153	798
var	Eukaryotes	Plants	Eudicots	Vigna angularis (adzuki bean)		26741	1156	1102
mtr	Eukaryotes	Plants	Eudicots	Medicago truncatula (barrel medic)		50551	1147	52
cam	Eukaryotes	Plants	Eudicots	Cicer arietinum (chickpea)		24818	1149	990
adu	Eukaryotes	Plants	Eudicots	Arachis duranensis		33124	1145	4296
aip	Eukaryotes	Plants	Eudicots	Arachis ipaensis		36323	1140	4921
lja	Eukaryotes	Plants	Eudicots	Lotus japonicus		48105	1134	
lang	Eukaryotes	Plants	Eudicots	Lupinus angustifolius (narrow-leaved blue lupine)		33884	1149	2534
fve	Eukaryotes	Plants	Eudicots	Fragaria vesca (woodland strawberry)		24114	1135	2124
pper	Eukaryotes	Plants	Eudicots	Prunus persica (peach)		28172	1140	45
pmum	Eukaryotes	Plants	Eudicots	Prunus mume (Japanese apricot)		23423	1143	1355
mdm	Eukaryotes	Plants	Eudicots	Malus domestica (apple)		47857	1138	6544
pxb	Eukaryotes	Plants	Eudicots	Pyrus x bretschneideri (Chinese white pear)		34996	1109	3419
zju	Eukaryotes	Plants	Eudicots	Ziziphus jujuba (Chinese jujube)		29378		1461
csv	Eukaryotes	Plants	Eudicots	Cucumis sativus (cucumber)		18861	1126	757
cmo	Eukaryotes	Plants	Eudicots	Cucumis melo (muskmelon)		19502	1127	2207
rcu	Eukaryotes	Plants	Eudicots	Ricinus communis (castor bean)		20575	1144	523
jcu	Eukaryotes	Plants	Eudicots	Jatropha curcas		21819	1145	1498
pop	Eukaryotes	Plants	Eudicots	Populus trichocarpa (black cottonwood)		41525	1148	45
vvi	Eukaryotes	Plants	Eudicots	Vitis vinifera (wine grape)		25843	1155	2316
sly	Eukaryotes	Plants	Eudicots	Solanum lycopersicum (tomato)		25710	1152	2767
spen	Eukaryotes	Plants	Eudicots	Solanum pennellii		26874	1139	1493
sot	Eukaryotes	Plants	Eudicots	Solanum tuberosum (potato)		28463	1145	2437
cann	Eukaryotes	Plants	Eudicots	Capsicum annuum		31384		4906
nta	Eukaryotes	Plants	Eudicots	Nicotiana tabacum (common tobacco)		61780	2	7759
ini	Eukaryotes	Plants	Eudicots	Ipomoea nil (Japanese morning glory)		35267	1139	4899
sind	Eukaryotes	Plants	Eudicots	Sesamum indicum (sesame)		23898	1140	808
bvg	Eukaryotes	Plants	Eudicots	Beta vulgaris (sugar beet)		24491	1129	2267
nnu	Eukaryotes	Plants	Eudicots	Nelumbo nucifera (sacred lotus)		24117	1138	1849
osa	Eukaryotes	Plants	Monocots	Oryza sativa japonica (Japanese rice) (RefSeq)		28073	1117	3053
dosa	Eukaryotes	Plants	Monocots	Oryza sativa japonica (Japanese rice) (RAPDB)		35679	1126	
obr	Eukaryotes	Plants	Monocots	Oryza brachyantha (malo sina)		21891	1119	1209
bdi	Eukaryotes	Plants	Monocots	Brachypodium distachyon		24866	1142	2190
ats	Eukaryotes	Plants	Monocots	Aegilops tauschii (wheat D)		33931	1062	41
sbi	Eukaryotes	Plants	Monocots	Sorghum bicolor (sorghum)		33002	1091	77
zma	Eukaryotes	Plants	Monocots	Zea mays (maize)		40017	1144	8101
sita	Eukaryotes	Plants	Monocots	Setaria italica (foxtail millet)		26937	1134	1202
pda	Eukaryotes	Plants	Monocots	Phoenix dactylifera (date palm)		25886	1120	1434
egu	Eukaryotes	Plants	Monocots	Elaeis guineensis (African oil palm)		25979	1131	1640
mus	Eukaryotes	Plants	Monocots	Musa acuminata (wild Malaysian banana)		30737	1136	1871
atr	Eukaryotes	Plants	Basal Magnoliophyta	Amborella trichopoda		17106	1126	1322
smo	Eukaryotes	Plants	Ferns	Selaginella moellendorffii		34724	1108	23
ppp	Eukaryotes	Plants	Mosses	Physcomitrella patens subsp. patens		35923	1088	71
cre	Eukaryotes	Plants	Green algae	Chlamydomonas reinhardtii		14416	884	57
vcn	Eukaryotes	Plants	Green algae	Volvox carteri f. nagariensis		14434	889	
olu	Eukaryotes	Plants	Green algae	Ostreococcus lucimarinus		7603	724	
ota	Eukaryotes	Plants	Green algae	Ostreococcus tauri		7994	660	68
bpg	Eukaryotes	Plants	Green algae	Bathycoccus prasinos	15074320	7892	755	67
mis	Eukaryotes	Plants	Green algae	Micromonas commoda	21109336	10051	828	72
mpp	Eukaryotes	Plants	Green algae	Micromonas pusilla		10238	814	
csl	Eukaryotes	Plants	Green algae	Coccomyxa subellipsoidea		9945	945	64
cvr	Eukaryotes	Plants	Green algae	Chlorella variabilis		9892	893	65
apro	Eukaryotes	Plants	Green algae	Auxenochlorella protothecoides		7127	848	62
cme	Eukaryotes	Plants	Red algae	Cyanidioschyzon merolae	16696734	5010	697	606
gsl	Eukaryotes	Plants	Red algae	Galdieria sulphuraria		6823	742	55
ccp	Eukaryotes	Plants	Red algae	Chondrus crispus (carragheen)		9836	681	64
sce	Eukaryotes	Fungi	Ascomycetes	Saccharomyces cerevisiae (budding yeast)	12157105	6002	768	425
ago	Eukaryotes	Fungi	Ascomycetes	Ashbya gossypii (Eremothecium gossypii)	9119312	4776	715	578
erc	Eukaryotes	Fungi	Ascomycetes	Eremothecium cymbalariae	9669424	4434	674	151
kla	Eukaryotes	Fungi	Ascomycetes	Kluyveromyces lactis	10729447	5084	760	251
lth	Eukaryotes	Fungi	Ascomycetes	Lachancea thermotolerans	10392862	5091	767	287
vpo	Eukaryotes	Fungi	Ascomycetes	Vanderwaltozyma polyspora		5336	713	23
zro	Eukaryotes	Fungi	Ascomycetes	Zygosaccharomyces rouxii	9764635	4991	768	330
cgr	Eukaryotes	Fungi	Ascomycetes	Candida glabrata	12338308	5213	735	246
ncs	Eukaryotes	Fungi	Ascomycetes	Naumovozyma castellii	11219539	5592	730	278
ndi	Eukaryotes	Fungi	Ascomycetes	Naumovozyma dairenensis	13527580	5548	735	268
tpf	Eukaryotes	Fungi	Ascomycetes	Tetrapisispora phaffii	12100190	5250	730	210
tbl	Eukaryotes	Fungi	Ascomycetes	Tetrapisispora blattae	14048593	5388	700	337
tdl	Eukaryotes	Fungi	Ascomycetes	Torulaspora delbrueckii	9220678	4972	755	204
kaf	Eukaryotes	Fungi	Ascomycetes	Kazachstania africana	11130140	5378	716	271
ppa	Eukaryotes	Fungi	Ascomycetes	Komagataella phaffii	9216378	5040	755	
dha	Eukaryotes	Fungi	Ascomycetes	Debaryomyces hansenii	12181948	6286	808	236
pic	Eukaryotes	Fungi	Ascomycetes	Scheffersomyces stipitis		5816	830	
pgu	Eukaryotes	Fungi	Ascomycetes	Meyerozyma guilliermondii		5920	798	
spaa	Eukaryotes	Fungi	Ascomycetes	Spathaspora passalidarum		5983	782	
lel	Eukaryotes	Fungi	Ascomycetes	Lodderomyces elongisporus		5799	769	
cal	Eukaryotes	Fungi	Ascomycetes	Candida albicans		6043	784	121
ctp	Eukaryotes	Fungi	Ascomycetes	Candida tropicalis		6254	785	
cot	Eukaryotes	Fungi	Ascomycetes	Candida orthopsilosis	12659401	5677	783	86
cdu	Eukaryotes	Fungi	Ascomycetes	Candida dubliniensis	14618422	5860	788	112
cten	Eukaryotes	Fungi	Ascomycetes	Candida tenuis		5547	789	
yli	Eukaryotes	Fungi	Ascomycetes	Yarrowia lipolytica	20550897	6472	792	668
clu	Eukaryotes	Fungi	Ascomycetes	Clavispora lusitaniae		5936	787	
caur	Eukaryotes	Fungi	Ascomycetes	Candida auris		7461		
ncr	Eukaryotes	Fungi	Ascomycetes	Neurospora crassa		9758	909	416
nte	Eukaryotes	Fungi	Ascomycetes	Neurospora tetrasperma		10380	875	
smp	Eukaryotes	Fungi	Ascomycetes	Sordaria macrospora		10827	887	
pan	Eukaryotes	Fungi	Ascomycetes	Podospora anserina		10600	925	29
ttt	Eukaryotes	Fungi	Ascomycetes	Thielavia terrestris	36912256	9802	897	156
mtm	Eukaryotes	Fungi	Ascomycetes	Thermothelomyces thermophila	38744216	9099	895	194
cthr	Eukaryotes	Fungi	Ascomycetes	Chaetomium thermophilum		7180	847	28
mgr	Eukaryotes	Fungi	Ascomycetes	Magnaporthe oryzae		12825	940	40
tmn	Eukaryotes	Fungi	Ascomycetes	Phaeoacremonium minimum		8834	874	
fgr	Eukaryotes	Fungi	Ascomycetes	Fusarium graminearum		13329	950	118
fpu	Eukaryotes	Fungi	Ascomycetes	Fusarium pseudograminearum		12397	949	
nhe	Eukaryotes	Fungi	Ascomycetes	Nectria haematococca		15708	971	
tre	Eukaryotes	Fungi	Ascomycetes	Trichoderma reesei		9113	891	
maw	Eukaryotes	Fungi	Ascomycetes	Metarhizium acridum		9849	903	
maj	Eukaryotes	Fungi	Ascomycetes	Metarhizium robertsii		11688	928	
cmt	Eukaryotes	Fungi	Ascomycetes	Cordyceps militaris		9651	875	
val	Eukaryotes	Fungi	Ascomycetes	Verticillium alfalfae		10237	892	
vda	Eukaryotes	Fungi	Ascomycetes	Verticillium dahliae		10535	925	46
cfj	Eukaryotes	Fungi	Ascomycetes	Colletotrichum fioriniae		13759		
ela	Eukaryotes	Fungi	Ascomycetes	Eutypa lata		11685	931	
ssl	Eukaryotes	Fungi	Ascomycetes	Sclerotinia sclerotiorum		14446	877	
bfu	Eukaryotes	Fungi	Ascomycetes	Botrytis cinerea		16389	873	
mbe	Eukaryotes	Fungi	Ascomycetes	Marssonina brunnea		10027	888	
ani	Eukaryotes	Fungi	Ascomycetes	Aspergillus nidulans		9561	926	30
afm	Eukaryotes	Fungi	Ascomycetes	Aspergillus fumigatus		9630	997	
aor	Eukaryotes	Fungi	Ascomycetes	Aspergillus oryzae		12688	996	25
ang	Eukaryotes	Fungi	Ascomycetes	Aspergillus niger		10505	960	27
afv	Eukaryotes	Fungi	Ascomycetes	Aspergillus flavus		13485	994	
act	Eukaryotes	Fungi	Ascomycetes	Aspergillus clavatus		9121	946	
nfi	Eukaryotes	Fungi	Ascomycetes	Aspergillus fischeri		10395	972	
pcs	Eukaryotes	Fungi	Ascomycetes	Penicillium rubens		12791	931	
pdp	Eukaryotes	Fungi	Ascomycetes	Penicillium digitatum		8946		
cim	Eukaryotes	Fungi	Ascomycetes	Coccidioides immitis		9757	860	27
cpw	Eukaryotes	Fungi	Ascomycetes	Coccidioides posadasii		7229	853	
pbl	Eukaryotes	Fungi	Ascomycetes	Paracoccidioides lutzii Pb01		8826	857	22
pbn	Eukaryotes	Fungi	Ascomycetes	Paracoccidioides brasiliensis Pb18		8390	845	
ure	Eukaryotes	Fungi	Ascomycetes	Uncinocarpus reesii		7760	813	
abe	Eukaryotes	Fungi	Ascomycetes	Trichophyton benhamiae		7980	858	
tve	Eukaryotes	Fungi	Ascomycetes	Trichophyton verrucosum		8028	855	
aje	Eukaryotes	Fungi	Ascomycetes	Histoplasma capsulatum		9313	816	
pno	Eukaryotes	Fungi	Ascomycetes	Parastagonospora nodorum		15998	957	29
pte	Eukaryotes	Fungi	Ascomycetes	Pyrenophora teres		11799	940	
bze	Eukaryotes	Fungi	Ascomycetes	Bipolaris zeicola		12853	946	
bsc	Eukaryotes	Fungi	Ascomycetes	Bipolaris sorokiniana		12214	942	
bor	Eukaryotes	Fungi	Ascomycetes	Bipolaris oryzae		12002	939	
ztr	Eukaryotes	Fungi	Ascomycetes	Zymoseptoria tritici		10963	916	
pfj	Eukaryotes	Fungi	Ascomycetes	Pseudocercospora fijiensis		13065	928	
bcom	Eukaryotes	Fungi	Ascomycetes	Baudoinia panamericana		10508	906	
npa	Eukaryotes	Fungi	Ascomycetes	Neofusicoccum parvum		10366	896	
tml	Eukaryotes	Fungi	Ascomycetes	Tuber melanosporum		7496	807	
spo	Eukaryotes	Fungi	Ascomycetes	Schizosaccharomyces pombe (fission yeast)	12591251	5132	712	1812
cne	Eukaryotes	Fungi	Basidiomycetes	Cryptococcus neoformans JEC21	19051922	6273	765	134
cnb	Eukaryotes	Fungi	Basidiomycetes	Cryptococcus neoformans var. neoformans B-3501A		6500	778	
cgi	Eukaryotes	Fungi	Basidiomycetes	Cryptococcus gattii	18374760	6565	777	
tms	Eukaryotes	Fungi	Basidiomycetes	Tremella mesenterica		8308	751	
ppl	Eukaryotes	Fungi	Basidiomycetes	Postia placenta		9083	337	
tvs	Eukaryotes	Fungi	Basidiomycetes	Trametes versicolor		14302		
dsq	Eukaryotes	Fungi	Basidiomycetes	Dichomitus squalens		12287	831	
pco	Eukaryotes	Fungi	Basidiomycetes	Phanerochaete carnosa		13925	804	
shs	Eukaryotes	Fungi	Basidiomycetes	Stereum hirsutum		14066	870	
hir	Eukaryotes	Fungi	Basidiomycetes	Heterobasidion irregulare		13271	857	
psq	Eukaryotes	Fungi	Basidiomycetes	Punctularia strigosozonata		11540	834	
adl	Eukaryotes	Fungi	Basidiomycetes	Auricularia subglabra		23555	847	
fme	Eukaryotes	Fungi	Basidiomycetes	Fomitiporia mediterranea		11338	835	
gtr	Eukaryotes	Fungi	Basidiomycetes	Gloeophyllum trabeum		11755	862	
lbc	Eukaryotes	Fungi	Basidiomycetes	Laccaria bicolor		18215	804	
mpr	Eukaryotes	Fungi	Basidiomycetes	Moniliophthora perniciosa		13560	565	
mrr	Eukaryotes	Fungi	Basidiomycetes	Moniliophthora roreri		17910	880	
cci	Eukaryotes	Fungi	Basidiomycetes	Coprinopsis cinerea		13356	846	
scm	Eukaryotes	Fungi	Basidiomycetes	Schizophyllum commune		13190	862	
abp	Eukaryotes	Fungi	Basidiomycetes	Agaricus bisporus var. burnettii JB137-S8		11271	817	
abv	Eukaryotes	Fungi	Basidiomycetes	Agaricus bisporus var. bisporus H97		10444	816	
cput	Eukaryotes	Fungi	Basidiomycetes	Coniophora puteana		13758	812	
sla	Eukaryotes	Fungi	Basidiomycetes	Serpula lacrymans		12920	823	
